Name,DOB
Priya Das,02-06-2000
Anita Khan,03-12-1991
Komal Tiwari,28-09-1998
Mohit Joshi,05-02-1994
Ashish Rao,01-07-1986
Raj Verma,12-05-1967
Ravi Gupta,02-02-1994
Sonali Gupta,15-12-1994
Sameer Pandey,23-07-1969
Ashish Kumar,28-08-1987
Alok Pandey,14-03-1984
Ayush Gupta,31-10-1967
Mohit Srivastava,07-04-2000
Komal Mehta,21-12-2005
Abhishek Singh,10-05-1962
Ashish Pandey,07-05-1968
Nisha Rao,07-02-1989
Vikas Kumar,08-03-1986
Abhishek Tiwari,07-08-1967
Swati Mehta,11-10-1981
Meena Shah,19-03-1975
Simran Tiwari,17-03-1975
Gaurav Das,06-01-1987
Ravi Patel,02-02-1973
Arjun Yadav,30-12-1998
Ravi Srivastava,22-11-1986
Anjali Verma,25-05-1992
Rakesh Khan,24-06-2004
Nisha Rao,17-07-1977
Aman Singh,26-02-1972
Sahil Kumar,02-07-1995
Sanjay Rao,30-01-1994
Sanjay Chauhan,11-01-1990
Akash Rao,18-03-1972
Sahil Sinha,07-01-1978
Anjali Sinha,08-12-1975
Vivek Sinha,23-02-1986
Tanvi Patel,30-09-1981
Sameer Tiwari,22-02-1985
Vivek Pandey,20-03-1970
Meena Mishra,21-02-1976
Simran Mehta,31-05-1962
Swati Chauhan,22-10-1978
Alok Jha,16-03-1966
Abhishek Patel,26-06-1972
Priya Jha,17-09-1981
Rakesh Gupta,17-12-1997
Vikas Verma,15-04-2000
Nisha Patel,16-12-1995
Kavita Shah,11-07-1997
Kavita Sharma,03-04-1992
Sneha Mehta,16-08-1967
Ayush Khan,06-11-1991
Manish Rao,22-12-1963
Meena Tiwari,30-09-1989
Akash Singh,11-12-1960
Ayush Das,01-12-1979
Divya Shah,30-10-1979
Alok Pandey,02-02-1995
Aman Joshi,24-11-2004
Karan Pandey,15-03-1962
Anjali Singh,03-07-1986
Abhishek Verma,31-05-1970
Swati Gupta,02-04-1991
Sahil Sinha,06-11-2000
Pankaj Shah,29-04-2003
Shubham Patel,03-10-1968
Alok Chauhan,11-08-1988
Arjun Jha,04-01-1964
Sonali Singh,10-01-1962
Sanjay Singh,29-09-1974
Tanvi Khan,26-08-1975
Komal Yadav,10-09-1989
Komal Srivastava,14-06-2001
Rahul Tiwari,19-07-1976
Mohit Srivastava,28-06-1995
Aditya Rao,13-09-1977
Alok Joshi,15-07-1998
Vikas Kumar,09-04-1979
Pankaj Das,12-08-1965
Meena Singh,09-10-1976
Sumit Sinha,05-09-1977
Aman Singh,15-07-1983
Sakshi Patel,12-02-1988
Nisha Tiwari,20-03-1995
Neha Singh,19-03-1991
Shubham Chauhan,24-06-1975
Simran Jha,09-08-1967
Simran Gupta,05-02-1988
Deepak Khan,25-05-1987
Deepak Yadav,28-06-1993
Sneha Gupta,29-10-2005
Vikas Srivastava,14-05-1972
Meena Tiwari,14-12-1997
Mohit Patel,17-07-1975
Komal Yadav,05-12-2003
Rohit Gupta,13-10-1976
Sameer Chauhan,22-10-1964
Shubham Kumar,23-06-2003
Gaurav Mishra,12-06-1994
Komal Shah,28-05-2004
Komal madal,31-08-2004
